Timestep  Iteration  resNorm(0)  resNorm(1)  
47  3  0.0000629351710725  0.0003660133546804  
48  1  0.0201304232582209  0.0227828499707849  
48  2  0.0003896493642124  0.0042296831245103  
48  3  0.0000470863469673  0.0001351628659010  
49  1  0.0282593498925319  0.0189934199264616  
49  2  0.0002165372440084  0.0029449516707546  
49  3  0.0000711619729172  0.0001582795469815  
50  1  0.0225898648595012  0.0084204129032966  
50  2  0.0000878844369523  0.0045421003751334  
50  3  0.0000315301239993  0.0001322808176590  
51  1  0.0228544011966111  0.0113809344049938  
51  2  0.0000813194771491  0.0026557973140521  
51  3  0.0000171889321287  0.0000488157877994  
52  1  0.0258918489665274  0.0083418853155391  
52  2  0.0000287967398031  0.0033330436747097  
52  3  0.0000150978918773  0.0000956992071516  
53  1  0.0170749893955220  0.0104590901499663  
53  2  0.0000712578421642  0.0023188597680896  
53  3  0.0000447015980542  0.0002234036840969  
54  1  0.0224124390879037  0.0083510517392189  
54  2  0.0000540336533141  0.0027954676835680  
54  3  0.0000225275583738  0.0001397470129543  
55  1  0.0185508919970374  0.0074526861379224  
55  2  0.0000477379994524  0.0021839204578482  
55  3  0.0000144093432573  0.0000996155087788  
56  1  0.0172557704604700  0.0061817998778648  
56  2  0.0000270924748558  0.0019907323311196  
56  3  0.0000086611707585  0.0000644162552672  
57  1  0.0185271659357549  0.0060993209888407  
57  2  0.0000186685744169  0.0018203500661855  
57  3  0.0000148669470743  0.0000567841637767  
58  1  0.0165039193141887  0.0065323918127924  
58  2  0.0000314624832660  0.0018352188787100  
58  3  0.0000114143903820  0.0001160379187199  
59  1  0.0153405254995085  0.0100420672500224  
59  2  0.0000172378201831  0.0008236544974195  
60  1  0.0160372679501195  0.0089103388090429  
60  2  0.0000465618981338  0.0006670064051136  
61  1  0.0156336557977206  0.0093940589018997  
61  2  0.0000480788555882  0.0010830177628743  
61  3  0.0000105981365873  0.0000726512569319  
62  1  0.0150377157666051  0.0086431309275161  
62  2  0.0000674663855354  0.0008710294249385  
63  1  0.0153867873998345  0.0037456417757621  
63  2  0.0000270905563581  0.0016885514194908  
63  3  0.0000305343460038  0.0005115345403787  
64  1  0.0152594546887114  0.0042612028847681  
64  2  0.0000221927803289  0.0008015191737368  
65  1  0.0121856858866897  0.0055213966496966  
65  2  0.0000304549236574  0.0012262208181040  
65  3  0.0000124518975528  0.0000605591616643  
66  1  0.0155185320356679  0.0068163290208958  
66  2  0.0000494916634070  0.0013496621065770  
66  3  0.0000155849446292  0.0001196406130397  
67  1  0.0110982731937736  0.0093266181401181  
67  2  0.0000327456579582  0.0015384661743579  
67  3  0.0000125428222502  0.0000637354951699  
68  1  0.0132793797362247  0.0091613744737141  
68  2  0.0000571089247436  0.0016066861171064  
68  3  0.0000244744535354  0.0001426903519967  
69  1  0.0139808453972584  0.0067931074476405  
69  2  0.0000309949578915  0.0013627751922660  
69  3  0.0000219850276162  0.0001595964870974  
70  1  0.0106966325829869  0.0059898042415791  
70  2  0.0000221458753016  0.0008525868348944  
71  1  0.0143214276386865  0.0053985959173498  
71  2  0.0000319855687551  0.0015178533097234  
71  3  0.0000150670536232  0.0000698053483963  
72  1  0.0121542294425832  0.0065178517981285  
72  2  0.0000162040097928  0.0007497170919137  
73  1  0.0089507805567218  0.0056478428662306  
73  2  0.0000354832023633  0.0015582629547409  
73  3  0.0000149430161355  0.0000875947422554  
74  1  0.0133803365225868  0.0043830229112885  
74  2  0.0000179464183242  0.0008992096079517  
75  1  0.0082746285683294  0.0072041436657323  
75  2  0.0000219639017930  0.0007329356569087  
76  1  0.0106912105921781  0.0072321533359271  
76  2  0.0000376666409570  0.0011186021824020  
76  3  0.0000109607734862  0.0001020893499521  
77  1  0.0098558225584934  0.0040519874679035  
77  2  0.0000234744838180  0.0011948775158160  
77  3  0.0000087481975336  0.0001055235574133  
78  1  0.0078134786188388  0.0054839450127899  
78  2  0.0000204259241792  0.0006232497320298  
79  1  0.0103557191007347  0.0046862314495457  
79  2  0.0000154699291542  0.0013017465335179  
79  3  0.0000089225269575  0.0000891876236549  
80  1  0.0092253279719098  0.0048612467479495  
80  2  0.0000325016686309  0.0008245069060819  
81  1  0.0087839939301803  0.0063034066137801  
81  2  0.0000245696809971  0.0007800059241223  
82  1  0.0103763208792824  0.0051005813571764  
82  2  0.0000181350321575  0.0008024409840448  
83  1  0.0076975443722501  0.0061852023561136  
83  2  0.0000327354048815  0.0015426214879926  
83  3  0.0000292498784612  0.0001755007686720  
84  1  0.0091876254200199  0.0048903686610223  
84  2  0.0000155374784742  0.0010940386593507  
84  3  0.0000128694462625  0.0001840500342613  
85  1  0.0078898003084922  0.0019582679919561  
85  2  0.0000201554944797  0.0009849527715491  
86  1  0.0065586660778350  0.0037710131391448  
86  2  0.0000289370609455  0.0009267126397567  
87  1  0.0080929114847455  0.0051627858944386  
87  2  0.0000245175255935  0.0008769634048261  
88  1  0.0075531763046501  0.0054531598114672  
88  2  0.0000478783675223  0.0013931734184856  
88  3  0.0000180796374433  0.0001208328157842  
89  1  0.0067353509379969  0.0050768310401667  
89  2  0.0000221644534936  0.0013708585457085  
89  3  0.0000095038163281  0.0000891486603915  
90  1  0.0078288735145043  0.0034808874120834  
90  2  0.0000167318340039  0.0017210070241001  
90  3  0.0000118408238130  0.0001913266135770  
91  1  0.0074891292743287  0.0021492528811117  
91  2  0.0000111427109653  0.0021379070336047  
91  3  0.0000096618193903  0.0005084123118203  
92  1  0.0063932378926452  0.0041702806637846  
92  2  0.0000106792668067  0.0014265651681448  
92  3  0.0000052336065290  0.0000682061515999  
93  1  0.0085713492230933  0.0019514737686508  
93  2  0.0000065029147113  0.0014148065086888  
93  3  0.0000047432347240  0.0001644255713866  
94  1  0.0067495632808661  0.0045286722315470  
94  2  0.0000188015997656  0.0008064728897660  
95  1  0.0071973325124118  0.0073303234168116  
95  2  0.0000201734992167  0.0008476668597291  
96  1  0.0076596024267109  0.0061119740672930  
96  2  0.0000273926241535  0.0011458984997754  
96  3  0.0000209688515767  0.0001546566312281  
97  1  0.0048319559551799  0.0045166773188506  
97  2  0.0000151957744724  0.0004545897372811  
98  1  0.0077732498778255  0.0029582525767033  
98  2  0.0000070104741885  0.0012411524441614  
98  3  0.0000055269272564  0.0000620597943017  
99  1  0.0058593871329663  0.0014286100632187  
99  2  0.0000050301973675  0.0014600943868957  
99  3  0.0000036349262722  0.0001413689917705  
100  1  0.0061247623621566  0.0027079213152920  
100  2  0.0000124403040942  0.0011830272883989  
100  3  0.0000075374866694  0.0001349670451971  
